artist, album, title, duration, no_of_notes, chord, note, type, frequency, hammer, ghostNote, muted, slide
Jaco Pastorius, Invitation, Amerika, 25000, 1, unison, C#3, normal, 13859, False, False, False, 0
Jaco Pastorius, Invitation, Amerika, 25000, 1, unison, D3, normal, 14683, False, False, False, 0
Jaco Pastorius, Invitation, Amerika, 25000, 1, unison, B2, normal, 12347, False, False, False, 0
Jaco Pastorius, Invitation, Amerika, 25000, 1, unison, C#3, normal, 13859, False, False, False, 0
Jaco Pastorius, Invitation, Amerika, 25000, 1, unison, D3, normal, 14683, False, False, False, 0
Jaco Pastorius, Invitation, Amerika, 25000, 1, unison, E3, normal, 16481, False, False, False, 0
Jaco Pastorius, Invitation, Amerika, 16666, 1, unison, C#3, normal, 13859, False, False, False, 0
Jaco Pastorius, Invitation, Amerika, 16666, 1, unison, D3, normal, 14683, False, False, False, 0
Jaco Pastorius, Invitation, Amerika, 16666, 1, unison, E3, normal, 16481, False, False, False, 0
Jaco Pastorius, Invitation, Amerika, 25000, 1, unison, F#3, normal, 18500, False, False, False, 0
Jaco Pastorius, Invitation, Amerika, 25000, 1, unison, D3, normal, 14683, False, True, False, 0
Jaco Pastorius, Invitation, Amerika, 25000, 1, unison, E3, normal, 16481, False, True, False, 0
Jaco Pastorius, Invitation, Amerika, 25000, 1, unison, F#3, dead, 18500, False, False, False, 0
Jaco Pastorius, Invitation, Amerika, 25000, 1, unison, G#3, normal, 20765, True, False, False, 0
Jaco Pastorius, Invitation, Amerika, 25000, 1, unison, A3, normal, 22000, False, False, False, 1
Jaco Pastorius, Invitation, Amerika, 25000, 1, unison, F#3, normal, 18500, False, False, False, 0
Jaco Pastorius, Invitation, Amerika, 25000, 1, unison, G#3, normal, 20765, False, False, False, 0
Jaco Pastorius, Invitation, Amerika, 100000, 1, unison, R, normal, 0, False, False, False, 0
Jaco Pastorius, Invitation, Amerika, 100000, 1, unison, R, normal, 0, False, False, False, 0
Jaco Pastorius, Invitation, Amerika, 100000, 2, Perfect Fifth, A2, normal, 11000, False, False, False, 0
Jaco Pastorius, Invitation, Amerika, 100000, 2, Perfect Fifth, R, normal, 0, False, False, False, 0
Jaco Pastorius, Invitation, Amerika, 100000, 1, unison, B-2, normal, 11654, False, False, False, 0
Jaco Pastorius, Invitation, Amerika, 25000, 1, unison, B-2, tie, 11654, False, False, False, 0
Jaco Pastorius, Invitation, Amerika, 25000, 1, unison, R, tie, 0, False, False, False, 0
Jaco Pastorius, Invitation, Amerika, 25000, 1, unison, R, tie, 0, False, False, False, 0
Jaco Pastorius, Invitation, Amerika, 25000, 1, unison, R, tie, 0, False, False, False, 0
