type,ghostNote,hammer,palmMute,slides,duration,no_of_notes,chord,root_note,root_freq,scnd_note,scnd_freq
normal,0,0,0,0,0.5,1,,A3,219.9999999999999,,
,,,,,0.5,1,,,,,
normal,0,0,0,0,0.25,1,,E4,329.62755691286986,,
normal,0,0,0,0,0.25,1,,B4,493.8833012561241,,
,,,,,0.25,1,,,,,
normal,0,0,0,0,0.25,1,,E4,329.62755691286986,,
normal,0,0,0,0,0.5,1,,F3,174.61411571650183,,
,,,,,0.5,1,,,,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,0,0,0,0.25,1,,G4,391.99543598174927,,
normal,0,0,0,0,0.5,1,,B3,246.94165062806198,,
,,,,,0.5,1,,,,,
normal,0,0,0,0,0.25,1,,F#4,369.99442271163434,,
normal,0,0,0,0,0.25,1,,D5,587.3295358348153,,
,,,,,0.25,1,,,,,
normal,0,0,0,0,0.25,1,,F#4,369.99442271163434,,
normal,0,0,0,0,0.5,1,,G3,195.99771799087452,,
,,,,,0.5,1,,,,,
normal,0,0,0,0,0.5,1,,D4,293.66476791740746,,
,,,,,0.5,1,,,,,
normal,0,0,0,0,0.5,1,,A4,440.0,,
normal,0,0,0,0,0.5,1,,A3,219.9999999999999,,
,,,,,0.5,1,,,,,
normal,0,0,0,0,0.25,1,,E4,329.62755691286986,,
normal,0,0,0,0,0.25,1,,B4,493.8833012561241,,
,,,,,0.25,1,,,,,
normal,0,0,0,0,0.25,1,,E4,329.62755691286986,,
normal,0,0,0,0,0.5,1,,F3,174.61411571650183,,
,,,,,0.5,1,,,,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,0,0,0,0.25,1,,G4,391.99543598174927,,
normal,0,0,0,0,0.5,1,,G3,195.99771799087452,,
,,,,,0.5,1,,,,,
normal,0,0,0,0,0.25,1,,D4,293.66476791740746,,
normal,0,0,0,0,0.25,1,,A4,440.0,,
,,,,,0.25,1,,,,,
normal,0,0,0,0,0.25,1,,D4,293.66476791740746,,
normal,0,0,0,0,0.5,1,,E3,155.56349186104035,,
,,,,,0.5,1,,,,,
normal,0,0,0,0,0.5,1,,B3,233.08188075904488,,
,,,,,0.5,1,,,,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,G4,391.99543598174927,,
normal,0,0,0,0,0.5,1,,A3,219.9999999999999,,
,,,,,0.5,1,,,,,
normal,0,0,0,0,0.25,1,,E4,329.62755691286986,,
normal,0,0,0,0,0.25,1,,B4,493.8833012561241,,
,,,,,0.25,1,,,,,
normal,0,0,0,0,0.25,1,,E4,329.62755691286986,,
normal,0,0,0,0,0.5,1,,F3,174.61411571650183,,
,,,,,0.5,1,,,,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,0,0,0,0.25,1,,G4,391.99543598174927,,
normal,0,0,0,0,0.5,1,,B3,246.94165062806198,,
,,,,,0.5,1,,,,,
normal,0,0,0,0,0.25,1,,F#4,369.99442271163434,,
normal,0,0,0,0,0.25,1,,D5,587.3295358348153,,
,,,,,0.25,1,,,,,
normal,0,0,0,0,0.25,1,,F#4,369.99442271163434,,
normal,0,0,0,0,0.5,1,,G3,195.99771799087452,,
,,,,,0.5,1,,,,,
normal,0,0,0,0,0.5,1,,D4,293.66476791740746,,
,,,,,0.5,1,,,,,
normal,0,0,0,0,0.25,1,,A4,440.0,,
normal,0,0,0,0,0.25,1,,B4,493.8833012561241,,
normal,0,0,0,0,0.5,1,,A3,219.9999999999999,,
,,,,,0.5,1,,,,,
normal,0,0,0,0,0.25,1,,E4,329.62755691286986,,
normal,0,0,0,0,0.25,1,,B4,493.8833012561241,,
,,,,,0.25,1,,,,,
normal,0,0,0,0,0.25,1,,E4,329.62755691286986,,
normal,0,0,0,0,0.5,1,,F3,174.61411571650183,,
,,,,,0.5,1,,,,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,0,0,0,0.25,1,,G4,391.99543598174927,,
normal,0,0,0,0,0.5,1,,G3,195.99771799087452,,
,,,,,0.5,1,,,,,
normal,0,0,0,0,0.25,1,,D4,293.66476791740746,,
normal,0,0,0,0,0.25,1,,A4,440.0,,
,,,,,0.25,1,,,,,
normal,0,0,0,0,0.25,1,,D4,293.66476791740746,,
normal,0,0,0,0,0.5,1,,E3,155.56349186104035,,
,,,,,0.5,1,,,,,
normal,0,0,0,0,0.25,1,,B3,233.08188075904488,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
,,,,,0.25,1,,,,,
normal,0,0,0,0,0.25,1,,G4,391.99543598174927,,
,,,,,0.25,1,,,,,
normal,1,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,1,1,0,0,0.25,1,,D3,146.83238395870364,,
normal,0,0,0,0,0.25,1,,A3,219.9999999999999,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,E4,329.62755691286986,,
normal,0,0,0,0,0.25,1,,B4,493.8833012561241,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,E4,329.62755691286986,,
normal,1,1,0,0,0.25,1,,A2,109.99999999999989,,
normal,0,0,0,0,0.25,1,,F3,174.61411571650183,,
normal,0,0,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,1,0,0,0.25,1,,D3,146.83238395870364,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,0,0,0,0.25,1,,G4,391.99543598174927,,
normal,1,1,0,0,0.25,1,,D3,146.83238395870364,,
normal,0,0,0,0,0.25,1,,B3,246.94165062806198,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,F#4,369.99442271163434,,
normal,0,0,0,0,0.25,1,,D5,587.3295358348153,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,F#4,369.99442271163434,,
normal,1,1,0,0,0.25,1,,A2,109.99999999999989,,
normal,0,0,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,1,0,0,0.25,1,,D3,146.83238395870364,,
normal,0,0,0,0,0.25,1,,D4,293.66476791740746,,
normal,0,0,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,A4,440.0,,
normal,0,1,0,0,0.25,1,,D3,146.83238395870364,,
normal,0,0,0,0,0.25,1,,D4,293.66476791740746,,
normal,1,1,0,0,0.25,1,,D3,146.83238395870364,,
normal,0,0,0,0,0.25,1,,A3,219.9999999999999,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,E4,329.62755691286986,,
normal,0,0,0,0,0.25,1,,B4,493.8833012561241,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,E4,329.62755691286986,,
normal,1,1,0,0,0.25,1,,A2,109.99999999999989,,
normal,0,0,0,0,0.25,1,,F3,174.61411571650183,,
normal,0,0,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,1,0,0,0.25,1,,D3,146.83238395870364,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,0,0,0,0.25,1,,G4,391.99543598174927,,
normal,1,1,0,0,0.25,1,,D3,146.83238395870364,,
normal,0,0,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,D4,293.66476791740746,,
normal,0,0,0,0,0.25,1,,A4,440.0,,
normal,0,1,0,0,0.25,1,,A2,109.99999999999989,,
normal,0,0,0,0,0.25,1,,E3,155.56349186104035,,
normal,1,0,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,1,0,0,0.25,1,,D3,146.83238395870364,,
normal,0,0,0,0,0.25,1,,B3,233.08188075904488,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,G4,391.99543598174927,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,B3,233.08188075904488,,
normal,1,1,0,0,0.25,1,,D3,146.83238395870364,,
normal,0,0,0,0,0.25,1,,A3,219.9999999999999,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,E4,329.62755691286986,,
normal,0,0,0,0,0.25,1,,B4,493.8833012561241,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,E4,329.62755691286986,,
normal,1,1,0,0,0.25,1,,A2,109.99999999999989,,
normal,0,0,0,0,0.25,1,,F3,174.61411571650183,,
normal,0,0,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,1,0,0,0.25,1,,D3,146.83238395870364,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,0,0,0,0.25,1,,G4,391.99543598174927,,
normal,1,1,0,0,0.25,1,,D3,146.83238395870364,,
normal,0,0,0,0,0.25,1,,B3,246.94165062806198,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,F#4,369.99442271163434,,
normal,0,0,0,0,0.25,1,,D5,587.3295358348153,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,F#4,369.99442271163434,,
normal,1,1,0,0,0.25,1,,A2,109.99999999999989,,
normal,0,0,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,1,0,0,0.25,1,,D3,146.83238395870364,,
normal,0,0,0,0,0.25,1,,D4,293.66476791740746,,
normal,0,0,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,A4,440.0,,
normal,0,1,0,0,0.25,1,,D3,146.83238395870364,,
normal,0,0,0,0,0.25,1,,D4,293.66476791740746,,
normal,1,1,0,0,0.25,1,,D3,146.83238395870364,,
normal,0,0,0,0,0.25,1,,A3,219.9999999999999,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,E4,329.62755691286986,,
normal,0,0,0,0,0.25,1,,B4,493.8833012561241,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,E4,329.62755691286986,,
normal,1,1,0,0,0.25,1,,A2,109.99999999999989,,
normal,0,0,0,0,0.25,1,,F3,174.61411571650183,,
normal,0,0,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,1,0,0,0.25,1,,D3,146.83238395870364,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,0,0,0,0.25,1,,G4,391.99543598174927,,
normal,1,1,0,0,0.25,1,,D3,146.83238395870364,,
normal,0,0,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,D4,293.66476791740746,,
normal,0,0,0,0,0.25,1,,A4,440.0,,
normal,0,1,0,0,0.25,1,,A2,109.99999999999989,,
normal,0,0,0,0,0.25,1,,E3,155.56349186104035,,
normal,1,0,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,1,0,0,0.25,1,,D3,146.83238395870364,,
normal,0,0,0,0,0.25,1,,B3,233.08188075904488,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,1.0,1,,G4,391.99543598174927,,
normal,1,1,0,0,0.25,1,,A2,109.99999999999989,,
normal,0,0,0,0,0.25,1,,E3,155.56349186104035,,
normal,0,0,0,0,0.25,1,,G3,195.99771799087452,,
normal,1,1,0,0,0.25,1,,D3,146.83238395870364,,
normal,0,0,0,0,0.25,1,,B3,233.08188075904488,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,G4,391.99543598174927,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,G4,391.99543598174927,,
normal,1,1,0,0,0.25,1,,D3,146.83238395870364,,
normal,0,0,0,0,0.25,1,,B3,233.08188075904488,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,1,1,0,0,0.25,1,,A2,109.99999999999989,,
normal,0,0,0,0,0.25,1,,E3,155.56349186104035,,
normal,0,0,0,0,0.25,1,,G3,195.99771799087452,,
normal,1,1,0,0,0.25,1,,D3,146.83238395870364,,
normal,0,0,0,0,0.25,1,,B3,233.08188075904488,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,G4,391.99543598174927,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,1,0,0,0.25,1,,B4,466.1637615180899,,
normal,0,0,0,0,0.25,1,,G4,391.99543598174927,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,G4,391.99543598174927,,
normal,1,1,0,0,0.25,1,,A2,109.99999999999989,,
normal,0,0,0,0,0.25,1,,E3,155.56349186104035,,
normal,0,0,0,0,0.25,1,,G3,195.99771799087452,,
normal,1,1,0,0,0.25,1,,D3,146.83238395870364,,
normal,0,0,0,0,0.25,1,,B3,233.08188075904488,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,C#4,277.182630976872,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,C#4,277.182630976872,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,1,1,0,0,0.25,1,,D3,146.83238395870364,,
normal,0,0,0,0,0.25,1,,B3,233.08188075904488,,
normal,0,0,0,0,0.25,1,,C#4,277.182630976872,,
normal,0,0,0,0,0.25,1,,B3,233.08188075904488,,
normal,1,1,0,0,0.25,1,,A2,109.99999999999989,,
normal,0,0,0,0,0.25,1,,E3,155.56349186104035,,
normal,0,0,0,0,0.25,1,,G3,195.99771799087452,,
normal,1,1,0,0,0.25,1,,D3,146.83238395870364,,
normal,0,0,0,0,0.25,1,,B3,233.08188075904488,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,C#4,277.182630976872,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,C#4,277.182630976872,,
normal,0,1,0,0,0.25,1,,G#4,415.3046975799451,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,C#4,277.182630976872,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,1,1,0,0,0.25,1,,A2,109.99999999999989,,
normal,0,0,0,0,0.25,1,,E3,155.56349186104035,,
normal,0,0,0,0,0.25,1,,G3,195.99771799087452,,
normal,1,1,0,0,0.25,1,,D3,146.83238395870364,,
normal,0,0,0,0,0.25,1,,B3,233.08188075904488,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,G4,391.99543598174927,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,G4,391.99543598174927,,
normal,1,0,0,0,0.25,1,,D3,146.83238395870364,,
normal,0,0,0,0,0.25,1,,E4,311.1269837220808,,
normal,0,0,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,B4,466.1637615180899,,
normal,1,1,0,0,0.25,1,,A2,109.99999999999989,,
normal,0,0,0,0,0.25,1,,E3,155.56349186104035,,
normal,0,0,0,0,0.25,1,,G3,195.99771799087452,,
normal,1,1,0,0,0.25,1,,D3,146.83238395870364,,
normal,0,0,0,0,0.25,1,,B3,233.08188075904488,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,G4,391.99543598174927,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,1,0,0,0.25,1,,B4,466.1637615180899,,
normal,0,0,0,0,0.25,1,,G4,391.99543598174927,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,G4,391.99543598174927,,
normal,1,1,0,0,0.25,1,,A2,109.99999999999989,,
normal,0,0,0,0,0.25,1,,E3,155.56349186104035,,
normal,0,0,0,0,0.25,1,,G3,195.99771799087452,,
normal,1,1,0,0,0.25,1,,D3,146.83238395870364,,
normal,0,0,0,0,0.25,1,,B3,233.08188075904488,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,C#4,277.182630976872,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,C#4,277.182630976872,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,1,1,0,0,0.25,1,,D3,146.83238395870364,,
normal,0,0,0,0,0.25,1,,B3,233.08188075904488,,
normal,0,0,0,0,0.25,1,,C#4,277.182630976872,,
normal,0,0,0,0,0.25,1,,B3,233.08188075904488,,
normal,1,1,0,0,0.25,1,,A2,109.99999999999989,,
normal,0,0,0,0,0.25,1,,E3,155.56349186104035,,
normal,0,0,0,0,0.25,1,,G3,195.99771799087452,,
normal,1,1,0,0,0.25,1,,D3,146.83238395870364,,
normal,0,0,0,0,0.25,1,,B3,233.08188075904488,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,C#4,277.182630976872,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,C#4,277.182630976872,,
normal,0,1,0,0,0.25,1,,G#4,415.3046975799451,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,1,0,0,0.25,1,,G3,195.99771799087452,,
normal,0,0,0,0,0.25,1,,C#4,277.182630976872,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,E3,155.56349186104035,,
normal,0,0,0,0,0.25,1,,B3,233.08188075904488,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,G4,391.99543598174927,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,0,0,0,0.25,1,,B3,233.08188075904488,,
normal,0,0,0,0,0.25,1,,E3,155.56349186104035,,
normal,0,0,0,0,0.25,1,,B3,233.08188075904488,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,B4,466.1637615180899,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,E3,155.56349186104035,,
normal,0,0,0,0,0.25,1,,B3,233.08188075904488,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,G4,391.99543598174927,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,0,0,0,0.25,1,,B3,233.08188075904488,,
normal,0,0,0,0,0.25,1,,E3,155.56349186104035,,
normal,0,0,0,0,0.25,1,,B3,233.08188075904488,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,C5,523.2511306011974,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,E3,155.56349186104035,,
normal,0,0,0,0,0.25,1,,B3,233.08188075904488,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,G4,391.99543598174927,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,0,0,0,0.25,1,,B3,233.08188075904488,,
normal,0,0,0,0,0.25,1,,E3,155.56349186104035,,
normal,0,0,0,0,0.25,1,,B3,233.08188075904488,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,B4,466.1637615180899,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,E3,155.56349186104035,,
normal,0,0,0,0,0.25,1,,B3,233.08188075904488,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,C5,523.2511306011974,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,E3,155.56349186104035,,
normal,0,0,0,0,0.25,1,,B3,233.08188075904488,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,D5,587.3295358348153,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,C4,261.6255653005985,,
normal,0,0,0,0,0.25,1,,F4,349.2282314330038,,
normal,0,0,0,0,0.25,1,,E3,155.56349186104035,,
